,STATION,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPressureChange,HourlyRelativeHumidity,HourlyStationPressure,HourlyWindSpeed,cloud cover percentage,is_fire
157,72286903171,20180924125300,81.0,0.0,0.06,42.0,28.96,9.0,0.0,False
158,72286903171,20200613125300,80.0,0.0,0.05,30.0,29.03,11.0,0.0,True
159,72286903171,20190805125300,100.0,0.0,0.05,18.0,29.01,6.0,0.0,True
160,72286903171,20230924125300,86.0,0.0,0.05,26.0,29.08,5.0,0.0,False
161,72286903171,20210125125300,48.0,0.0,0.08,52.0,28.8,15.0,0.875,False
162,72286903171,20190621125300,74.0,0.0,0.01,52.0,29.02,11.0,0.875,True
163,72286903171,20180121125300,60.0,0.0,0.06,26.0,29.34,7.0,0.875,False
164,72286903171,20160719125300,98.0,0.0,0.04,20.0,29.07,7.0,0.0,False
165,72286903171,20231114125300,81.0,0.0,0.09,13.0,29.07,0.0,0.0,False
166,72286903171,20200713125300,96.0,0.0,0.03,27.0,28.99,14.0,0.0,True
167,72286903171,20190830125300,98.0,0.0,0.05,27.0,29.02,8.0,0.0,False
168,72286903171,20230321120000,57.0,0.0,0.0,69.0,28.86,18.0,0.5,False
169,72286903171,20230704125300,92.0,0.0,0.02,21.0,29.02,10.0,0.0,True
170,72286903171,20160711125300,89.0,0.0,0.05,28.0,28.95,9.0,0.0,False
171,72286903171,20210505125300,88.0,0.0,0.03,23.0,29.02,13.0,0.0,True
172,72286903171,20170525125300,70.0,0.0,0.02,51.0,28.96,10.0,0.25,True
173,72286903171,20190527125300,65.0,0.0,0.04,42.0,29.1,3.0,0.875,False
174,72286903171,20200412125300,58.0,0.0,0.0,75.0,29.18,7.0,0.875,False
175,72286903171,20191010125300,79.0,0.0,0.04,5.0,29.01,24.0,0.0,True
176,72286903171,20190717125300,92.0,0.0,0.04,33.0,29.02,15.0,0.0,False
177,72286903171,20210704125300,91.0,0.0,0.04,28.0,29.05,11.0,0.0,False
178,72286903171,20200929125300,104.0,0.0,0.07,7.0,29.03,13.0,0.0,True
179,72286903171,20180827125300,83.0,0.0,0.05,43.0,29.03,7.0,0.5,True
180,72286903171,20180704125300,91.0,0.0,0.04,23.0,29.08,6.0,0.0,True
181,72286903171,20190827125300,98.0,0.0,0.05,26.0,28.94,9.0,0.0,True
182,72286903171,20230722125300,97.0,0.0,0.04,28.0,28.96,11.0,0.0,False
183,72286903171,20170514125300,74.0,0.0,0.03,37.0,28.96,7.0,0.25,True
184,72286903171,20190402125300,71.0,0.0,0.04,51.0,29.02,10.0,0.25,False
185,72286903171,20170621125300,103.0,0.0,0.04,24.0,28.84,15.0,0.0,False
186,72286903171,20230610121600,71.0,0.0,0.0,57.0,29.01,5.0,0.25,True
187,72286903171,20171029125300,76.0,0.0,0.06,54.0,28.96,7.0,0.0,False
188,72286903171,20181027125300,91.0,0.0,0.08,13.0,29.06,7.0,0.0,False
189,72286903171,20220326125300,84.0,0.0,0.06,24.0,28.98,8.0,0.0,True
190,72286903171,20210221125300,70.0,0.0,0.06,13.0,29.39,11.0,0.0,False
191,72286903171,20190518125300,74.0,0.0,0.02,33.0,29.06,8.0,0.875,True
192,72286903171,20161026125300,80.0,0.0,0.08,38.0,29.1,7.0,0.875,False
193,72286903171,20190910125300,78.0,0.0,0.04,45.0,28.99,8.0,0.25,True
194,72286903171,20170617125300,96.0,0.0,0.05,21.0,28.94,6.0,0.0,False
195,72286903171,20201203125300,69.0,0.0,0.06,8.0,29.33,10.0,0.0,True
196,72286903171,20190712125300,99.0,0.0,0.06,28.0,28.94,8.0,0.0,True
197,72286903171,20210825125300,97.0,0.0,0.05,17.0,29.02,6.0,0.0,True
198,72286903171,20220430125300,84.0,0.0,0.06,23.0,28.96,13.0,0.0,True
199,72286903171,20190716125300,97.0,0.0,0.02,26.0,28.95,14.0,0.0,True
200,72286903171,20220601125300,94.0,0.0,0.05,21.0,28.92,8.0,0.0,False
201,72286903171,20180504125300,91.0,0.0,0.07,9.0,29.18,7.0,0.25,True
202,72286903171,20230425125300,70.0,0.0,0.03,53.0,28.99,10.0,0.0,False
203,72286903171,20170702125300,88.0,0.0,0.02,36.0,29.08,6.0,0.0,True
204,72286903171,20230702125300,96.0,0.0,0.04,31.0,28.98,8.0,0.0,False
205,72286903171,20230715125300,100.0,0.0,0.04,29.0,28.95,10.0,0.0,True
206,72286903171,20190711125300,95.0,0.0,0.05,25.0,29.05,10.0,0.0,True
207,72286903171,20220113125300,67.0,0.0,0.09,25.0,29.28,3.0,1.0,False
208,72286903171,20200505125300,95.0,0.0,0.03,18.0,29.04,0.0,0.0,False
209,72286903171,20190614125300,77.0,0.0,0.04,47.0,29.05,10.0,0.0,False
210,72286903171,20230708125300,88.0,0.0,0.05,33.0,28.92,7.0,0.0,True
211,72286903171,20201201125300,83.0,0.0,0.06,7.0,29.13,7.0,0.0,True
